Código de instalación;Código de compañía;Cod Alternat;Códigos Calculados;Artic Padre;Cod Pre-pack;Ratio de preempacado;Unidades de empacado;Cod EAN Prod;Parte b;Parte c;Parte d;Parte e;Parte f;Total de LPN de salida;Total Act;Activa asignada;Activa disponible;Total de LPN de entrada;LPN de entrada asignada;LPN de entrada disponible;LPN de entrada sin verificar;Total asignado;Total disponible;Total de inventario;Resumen de inventario interno;Unidades secundarias de resumen de inventario interno;Cantidad de orden abierta
B100;FARMACORP;="7772112000010";="7772112000010";False;;0;0;="7772112000010";;;;;;0;0;0;0;438;12;421;0;12;421;438;438;438;0
B100;FARMACORP;="7772112000027";="7772112000027";False;;0;0;="7772112000027";;;;;;0;0;0;0;2;0;2;0;0;2;2;2;2;0
B100;FARMACORP;="7772112000041";="7772112000041";False;;0;0;="7772112000041";;;;;;0;0;0;0;36;6;30;0;6;30;36;36;36;0
B100;FARMACORP;="7772112000058";="7772112000058";False;;0;0;="7772112000058";;;;;;0;0;0;0;39;0;39;0;0;39;39;39;39;0
B100;FARMACORP;="7772112000140";="7772112000140";False;;0;0;="7772112000140";;;;;;0;0;0;0;34;2;32;0;2;32;34;34;34;0
B100;FARMACORP;="7772112000157";="7772112000157";False;;0;0;="7772112000157";;;;;;0;0;0;0;51;0;51;0;0;51;51;51;51;0
B100;FARMACORP;="7772112000195";="7772112000195";False;;0;0;="7772112000195";;;;;;6;0;0;0;0;0;0;0;0;0;0;6;6;0
B100;FARMACORP;="7772112000324";="7772112000324";False;;0;0;="7772112000324";;;;;;0;0;0;0;46;0;46;0;0;46;46;46;46;0
B100;FARMACORP;="7772112000362";="7772112000362";False;;0;0;="7772112000362";;;;;;0;0;0;0;45;6;39;0;6;39;45;45;45;0
B100;FARMACORP;="7772112000409";="7772112000409";False;;0;0;="7772112000409";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="7772112000416";="7772112000416";False;;0;0;="7772112000416";;;;;;0;0;0;0;45;6;39;0;6;39;45;45;45;0
B100;FARMACORP;="7772112000423";="7772112000423";False;;0;0;="7772112000423";;;;;;0;0;0;0;7;0;7;0;0;7;7;7;7;0
B100;FARMACORP;="7772115220156";="7772115220156";False;;0;0;="7772115220156";;;;;;0;0;0;0;47;4;43;0;4;43;47;47;47;0
B100;FARMACORP;="7772115220897";="7772115220897";False;;0;0;="7772115220897";;;;;;0;0;0;0;103;3;100;0;3;100;103;103;103;0
B100;FARMACORP;="7772115221146";="7772115221146";False;;0;0;="7772115221146";;;;;;0;0;0;0;26;2;24;0;2;24;26;26;26;0
B100;FARMACORP;="7772115221504";="7772115221504";False;;0;0;="7772115221504";;;;;;0;0;0;0;14;0;14;0;0;14;14;14;14;0
